nom,editeur,description,image
Dors Dragon d'Or,Game Flow,"Dans sa caverne, le Dragon D’Or s’est endormi sur son trésor. Les petits aventuriers doivent s’entraider pour récupérer de nombreux objets dans son trésor : l’un d’eux devra guetter le Dragon, alors que les autres doivent retrouver tout leur équipement.",https://cdn1.philibertnet.com/557501-large_default/dors-dragon-d-or.jpg
Le Grand Voyage - Migration d’Automne,Betula,"Dans cette course vers le soleil, surmontez les périls rencontrés lors de vos vols mais faites halte à temps pour arriver le premier à destination !",https://cdn1.philibertnet.com/569410-large_default/le-grand-voyage-migration-dautomne.jpg
Le Grand Méchant Monstre,Bankiiiz Editions,"C’est la rentrée à l’école des Monstres ! Les élèves sont tous prêts à se mettre au travail pour dessiner le monstre le plus effrayant de l’école, et gagner ainsi le titre de Grand méchant monstre !",https://cdn3.philibertnet.com/570310-large_default/le-gran-mechant-monstre.jpg
Mon P'tit Everdell,Matagot,"Mon P'tit Everdell ça pourrait être 'mon premier jeu de placement d'ouvriers', 'mon premier jeu de gestions de ressources' et 'mon premier jeu de tableau de cartes' réunis dans l'univers onirique d'Everdell afin de rassembler petits (à partir de 6 ans) et grands autour de la table.",https://cdn3.philibertnet.com/564020-medium_default/mon-p-tit-everdell.jpg
Farm & Furious,Loki,"Un jeu de course de relais dans la Basse-Cour, faites entrer en course vos animaux au bon moment pour utiliser leurs capacités judicieusement et vous pourrez passer la ligne d'arrivée en grand vainqueur !",https://cdn2.philibertnet.com/539570-large_default/farm-furious.jpg
Hâpy Families,Loki,"En visitant la pyramide, Hâpy pousse accidentellement une porte secrète et découvre une tablette antique. Les dieux sont encore cachés dans la pyramide. Aide-moi à les chercher, nous n'avons pas joué ensemble depuis des siècles ! Hâpy Families est une astucieuse revisite du traditionnel jeu des 7 familles qui remet au goût du jour cette mécanique plus qu'éprouvée.",https://cdn2.philibertnet.com/539563-large_default/hapy-families.jpg
Les Animaux de Baker Street,Iello,"Les Animaux de Baker Street est un jeu d'enquête coopérative pour 1 à 4 joueurs au 19e siècle dans un Londres aussi mignon que captivant. Il va vous falloir enquêter sur des mystères que même Sherlock Holmes, le plus grand des détectives, ne soupçonne pas toujours...",https://cdn1.philibertnet.com/546400-large_default/les-animaux-de-baker-street.jpg
Kamon,Cosmoludo,"Kamon est un jeu de stratégie interactif où vous prendrez plaisir à combiner logique, finesse et réflexion. Pour gagner, reliez deux bords du plateau, encerclez ou bloquez votre adversaire.",https://cdn2.philibertnet.com/480009-large_default/kamon.jpg
Yoxii,Cosmoludo,"Pour gagner au Yoxii, vous devrez encercler le Totem avec vos pièces les plus fortes. Chaque joueur/se à son tour déplace le Totem d'une case et place une de ses pièces sur le plateau. Attention, vous pourrez sauter par dessus vos pièces pour aller là où le terrain vous est favorable. Un jeu abstrait puissant, qui mélange Échecs et Go mais qui ne ressemble ni à l'un, ni à l'autre. Dans cet univers abstrait et minimal, vous apprendrez vite à trouver les positions d'attaque et à vous défendre. Amusement garanti.",https://cdn2.philibertnet.com/529972-large_default/yoxii.jpg
Hokito,Cosmoludo,"Dans Hokito, accumulez le plus de points en prenant le contrôle des tours de votre adversaire, créez des ponts et des chemins pour atteindre vos objectifs.",https://cdn1.philibertnet.com/484874-large_default/hokito.jpg
Swip'Sheep,Djeco,"Découvrez le jeu de cartes Swip'Sheep de Djeco, un jeu de stratégie simple où réflexion et stratégie seront nécessaires pour déjouer les malices de ce jeu, un jeu de cartes pour les enfants à partir de 5 ans. Les loups attaquent, les chiens défendent; les moutons eux rapportent des points. Encore faut-il réussir à conserver ceux que l'on a en main et à piquer ceux de vos adversaires.",https://cdn3.philibertnet.com/467923-large_default/swipship.jpg
Mysterix,Djeco,Mysterix est un jeu d'observation et de rapidité pour les enfants à partir de 4 ans. Les joueurs exercent leur oeil lynx en débusquant les intrus qui se sont glissés dans les images.,https://cdn2.philibertnet.com/501537-large_default/mysterix.jpg
Piou Piou,Djeco,Un jeu de stratégie. Panique dans le poulailler : le renard rôde et les œufs n'ont pas encore éclos ... Cot Cot codek!,https://cdn2.philibertnet.com/455837-large_default/piou-piou.jpg
Pin Pon !,Djeco,"Pin Pon ! est un jeu de société familial aux règles simples, parfait pour apprendre à jouer, à gagner ou à perdre tous ensemble. Un feu s'est déclaré... la sirène retentit dans la caserne! Saurez-vous aider les pompiers à arriver à temps pour éteindre les flammes et sauver la maison?",https://cdn3.philibertnet.com/516358-large_default/pinpon-.jpg
Chipe Cocos,Djeco,"Tapies dans la canopée, des bandes de singes se disputent les noix de coco. Quelle sera la bande la mieux organisée qui en récoltera le plus, tout en évinçant les singes rivaux avant l’arrivée du tigre ?  Chipe Cocos est un jeu de déplacement très simple où la stratégie et l'anticipation sont primordiales.",https://cdn1.philibertnet.com/554362-large_default/chipe-cocos.jpg
Pirates Island,Goula,Pirate Island est un jeu de parcours et de collecte sur le thème des pirates pour les enfants dès 5 ans.,https://cdn3.philibertnet.com/556068-large_default/pirate-island.jpg
Jungle Panic,Djeco,"Jungle Panic est un jeu de pose, d’observation et de rapidité, pour 2 à 4 joueurs dès 6 ans. C'est la panique dans la jungle, aidez les animaux à retrouver le calme en créant des espaces dédiés à chaque espèce.",https://cdn2.philibertnet.com/548905-large_default/jungle-panic.jpg
Tapikékoi,Djeco,"Tapikékoi de Djeco est un jeu éducatif sur les différences qui fait travailler la mémoire et le sens de l'observation des enfants. De retour à la maison, vous vous apercevez qu'un voleur a dérobé vos affaires. Saurez-vous découvrir ce qu'il manque ?",https://cdn1.philibertnet.com/480818-large_default/tapikekoi.jpg
Constellations,Djeco,"Constellations est un jeu d'observation, de repérage dans l'espace et de rapidité.",https://cdn2.philibertnet.com/561823-large_default/constellations.jpg
Pentanimo,Djeco,"Pentanimo comprend un cadre en bois permettant de bien caler les pièces, ainsi que 30 cartes de défis avec des positions de départs imposés. À vous de poser chaque pièce au bon endroit pour reproduire la figure dessinée sur le modèle. Quel animal manque à l’appel? Le jeu comprend 4 niveaux de difficulté pour progresser en douceur : de la simple reproduction à la déduction des pièces-animaux manquantes. Un jeu de casse-tête avec des animaux rigolos et attrayants adaptés à la tranche d'âge. Concentration, logique et patience seront nécessaires pour réaliser les défis.",https://cdn1.philibertnet.com/552196-large_default/pentamino.jpg
Cubissimo,Djeco,"Cubissimo est un jeu de réflexion et de patience dans lequel le joueur prend plaisir manipuler des pièces en 3D afin de reconstituer un cube parfait. Avec ses 30 cartes de défis, vous aurez matière à réfléchir.",https://cdn1.philibertnet.com/458016-large_default/cubissimo.jpg
Pagan: Le Destin de Roanoke,Super Meeple,"L'essence de ce jeu asymétrique est la lutte de la sorcière contre le chasseur de sorcières. Alors que la sorcière s'efforce d'accomplir un rituel, le chasseur tente de la retrouver et de découvrir sa véritable identité. Les deux joueurs ont accès à des decks variables de 50 cartes chacun et utilisent différentes ressources pour vaincre l'autre camp. De nombreuses tactiques et stratégies sont possibles et nécessaires pour survivre dans ce combat entre les deux puissances. Les graphiques sombres de l'illustratrice Maren Gutt donnent vie à l'histoire fictive de la colonie perdue de Roanoke.",https://cdn2.philibertnet.com/548779-large_default/pagan-le-destin-de-roanoke.jpg
Doggerland,Super Meeple,"Doggerland est un jeu de programmation d’actions et de développement par mécanisme de pose d’ouvriers lors de la préhistoire sur un paysage variable à chaque partie et dans lequel vous devrez développer votre clan pour laisser une trace de votre existence ! Votre but est de survivre et vous développer face aux rigueurs des saisons grâce aux ressources découvertes lors de vos expériences et les outils que vous allez fabriquer. Hélas, les ressources récoltées vont s’épuiser et votre village sera amené à migrer vers des contrées plus propices. ",https://www.le-passe-temps.com/35993-medium_default/doggerland.jpg
Expéditions,Super Meeple,"Découvrez des lieux insolites et inexplorés, de nouvelles cultures, de nouveaux animaux exotiques et des paysages somptueux ! Trois expéditions différentes partent d’Europe du Nord mais chaque joueur participe à toutes les expéditions et essaye d’influencer leur progression de manière à atteindre ses objectifs et marquer des points de victoire. Un jeu interactif, fun et même instructif (apprenez des choses curieuses sur chaque destination) ! Pour tout public !",https://www.festivaldesjeux-cannes.com/media/2023/01/835d413f-fa94-4453-b06e-016c63f6da09.png
